CASEID,ngrdchdc,amb_01,ats_120,ats_130,ats_140,ats_145,alndimmg,bpr_19,brthcan,brthmacr,brthprvc,yrarri,cc_20_1,cc_30_1,cc_40_1,cc_50_1,cc_60_1,cca551c,cca651c,ccdyc1c,ccmoc1c,cp_10_1,cp_20_1,csp_110a,csp_110b,cu0_132,famtype,hsdsizec,marstat,sex,dwelc,acompstc,ehg3_01b,prv,region,famincg2,ttlincg2,lanhmult,lanhome,religflg,rto_100,rto_101,slm_01,srh_110,srh_115,sts_410,sts_420,tsa_010
 9342, 3,2,6,6,6,6, 3,6,2,1,96, 5,6,96,6,6,96,6,6,96,96,6,96,6,6,2,6,1, 2,2,1,19, 4,59,5,4,4,1, 1,1,6,6,10,2,2,6,6,96
 9343, 0,2,6,6,6,6,96,1,1,6, 1,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,3, 1,2,1,18, 4,10,1,6,3,1, 1,1,6,6, 9,1,1,6,6,96
 9344, 8,2,6,6,6,6,96,1,1,6, 7,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 5,2,4,17, 2,46,4,1,1,1, 1,1,6,6, 8,2,2,6,6,96
 9345, 0,2,6,6,6,6,96,6,2,1,96,14,6,96,6,6,96,6,6,96,96,6,96,6,6,6,5,2, 6,1,4,96, 1,35,3,3,1,1, 1,1,6,6, 9,2,1,6,6,96
 9346, 0,2,6,6,6,6,96,1,1,6, 3,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,5,2, 4,2,1,97, 5,35,3,3,1,1, 1,1,6,6,97,3,3,6,6,96
 9347, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,3, 6,1,1,17, 2,24,2,2,2,1, 2,1,6,6, 8,1,3,6,6,96
 9348, 0,2,6,6,6,6,96,1,1,6, 3,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 4,1,1,24, 3,48,4,2,2,1, 1,2,6,6,10,3,3,6,6,96
 9349, 2,2,6,6,6,6,96,1,1,6, 8,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 3,2,2,21, 4,47,4,2,2,1, 1,1,6,6, 7,4,3,6,6,96
 9350, 0,6,6,6,6,6, 6,2,2,2,96, 6,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 5,2,2,20, 4,12,1,2,2,2,97,1,6,6, 9,1,1,6,6,96
 9351, 0,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,1,2,3, 2,1,1,17, 2,24,2,4,2,1, 2,1,6,6, 7,2,1,6,6,96
 9352, 2,2,6,6,6,6,96,1,1,6, 4,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 3,2,1,40, 4,13,1,1,1,1, 1,1,6,6,10,3,2,6,6,96
 9353, 2,6,6,6,6,6, 1,6,2,2,96, 2,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 5,2,1,96, 1,59,5,1,1,1, 1,1,6,6, 9,2,2,6,6,96
 9354, 0,2,6,6,6,6,96,1,1,6, 7,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 5,1,3,24, 7,46,4,1,1,1, 1,1,6,6, 7,4,2,6,6,96
 9355, 1,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 3,2,2,40, 4,11,1,1,1,1, 1,1,6,6, 7,2,2,6,6,96
 9356, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,4, 1,1,1,20, 4,46,4,5,4,1, 1,1,6,6, 9,1,1,6,6,96
 9357, 1,1,6,6,6,6,96,1,1,6, 1,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,2,1,35, 4,10,1,6,3,1, 1,1,6,6,10,2,1,6,6,96
 9358, 0,2,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 5,1,2,39, 3,48,4,1,1,1, 1,1,6,6, 8,2,3,6,6,96
 9359, 0,2,6,6,6,6,96,1,1,6, 7,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,4,18, 2,46,4,4,3,1, 1,1,6,6, 9,2,2,6,6,96
 9360, 6,2,6,6,6,6,96,1,1,6, 4,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,2,1,31, 4,11,1,6,3,1, 1,1,6,6, 7,4,1,6,6,96
 9361, 0,1,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,1,2,3, 2,1,1,21, 4,59,5,6,6,1, 1,2,6,6, 9,2,3,6,6,96
 9362, 5,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 5,2,4,40, 4,24,2,2,2,1, 2,1,6,6, 7,2,2,6,6,96
 9363, 0,6,6,6,6,6, 6,2,2,2,96, 8,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,1,17, 2,46,4,6,3,1, 3,1,6,6, 7,3,1,6,6,96
 9364, 0,2,6,6,6,6,96,1,1,6, 3,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,1,3,18, 2,12,1,1,1,1, 1,2,6,6, 4,4,4,6,6,96
 9365, 2,2,6,6,6,6,96,1,1,6, 5,96,6,96,6,6,96,6,6,96,96,6,96,6,6,2,1,2, 2,1,4,40, 5,24,2,2,2,1, 2,1,6,6, 8,2,1,6,6,96
 9366, 0,2,6,6,6,6,96,1,1,6, 4,96,6,96,6,6,96,6,6,96,96,6,96,6,6,1,2,4, 2,1,1,19, 2,35,3,6,5,1, 1,1,6,6, 9,4,1,6,6,96
 9367, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,2,1,24, 6,11,1,3,1,1, 1,2,6,6, 7,4,4,6,6,96
 9368, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 6,2,2,20, 6,35,3,2,2,1, 1,2,6,6, 7,1,2,6,6,96
 9369, 3,2,6,6,6,6,96,1,1,6,10,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 3,2,3,19, 2,59,5,3,3,1, 1,2,6,6, 8,1,3,6,6,96
 9370, 0,2,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,2,4, 1,2,1,18, 2,48,4,4,1,1, 1,2,6,6, 9,3,2,6,6,96
 9371, 0,1,6,6,6,6,96,1,1,6, 9,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 4,1,2,96, 1,48,4,1,1,1, 1,2,6,6, 7,3,3,6,6,96
 9372, 0,2,6,6,6,6,96,1,1,6, 7,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,1, 4,2,1,40, 4,46,4,1,1,1, 1,1,6,6, 0,4,2,6,6,96
 9373, 0,2,6,6,6,6,96,1,1,6, 4,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,2, 6,2,1,24, 2,13,1,3,2,1, 1,2,6,6, 6,3,3,6,6,96
 9374, 0,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,6,3, 6,1,1,18, 2,35,3,6,4,1, 1,7,6,6, 9,1,3,6,6,96
 9375, 3,2,6,6,6,6,96,1,1,6, 6,96,6,96,6,6,96,6,6,96,96,6,96,6,6,6,1,2, 1,1,1,18, 2,35,3,5,3,1, 1,1,6,6, 8,1,3,6,6,96
